x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7
18,10,10,26,14,10,11.33333333,11.33333333,10,14,12.66666667,11.33333333,18,14,14,14,14,10,10,14,18,14,18,18
18,10,10,26,14,10,10,10,10,14,14,10,19.33333333,14,12.66666667,14,14,10,10,14,18,14,18,18
