x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7
18,14,10,22,10,10,22,18,10,10,10,10,10,18,10,14,14,10,19,11,13,19,17,13
18,14,10,22,10,10,22,18,10,10,10,10,10,18,10,14,14,10,20,12,12,20,16,12
