x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7
14,14,14,22,14,14,10,10,18,10,18,18,18,10,18,18,18,18,26,10,18,26,18,18
14,14,16,22,14,16,10,10,16,10,18,16,18,10,16,18,18,16,26,10,16,26,18,16
