x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,index: 0,time:0.0-1.0
18.0,10.0,10.0,18.0,14.0,10.0,18.0,18.0,10.0,14.0,10.0,14.0,14.0,18.0,14.0,10.0,10.0,18.0,10.0,14.0,18.0,10.0,18.0,18.0
18.0,12.0,10.0,20.0,14.0,10.0,16.666666666666668,16.666666666666668,10.0,14.0,11.333333333333334,12.666666666666666,15.333333333333334,16.666666666666668,14.0,11.333333333333334,10.0,16.666666666666668,11.333333333333334,14.0,16.666666666666668,12.0,18.0,18.0

x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,index: 1,time:1.0-2.0
18.0,12.0,10.0,20.0,14.0,10.0,16.666666666666668,16.666666666666668,10.0,14.0,11.333333333333334,12.666666666666666,15.333333333333334,16.666666666666668,14.0,11.333333333333334,10.0,16.666666666666668,11.333333333333334,14.0,16.666666666666668,12.0,18.0,18.0
18.0,14.0,10.0,22.0,14.0,10.0,15.333333333333334,15.333333333333334,10.0,14.0,12.666666666666666,11.333333333333334,16.666666666666668,15.333333333333334,14.0,12.666666666666666,10.0,15.333333333333334,12.666666666666666,14.0,15.333333333333334,14.0,18.0,18.0

x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,index: 2,time:2.0-3.0
18.0,14.0,10.0,22.0,14.0,10.0,15.333333333333334,15.333333333333334,10.0,14.0,12.666666666666666,11.333333333333334,16.666666666666668,15.333333333333334,14.0,12.666666666666666,10.0,15.333333333333334,12.666666666666666,14.0,15.333333333333334,14.0,18.0,18.0
18.0,14.0,10.0,22.0,14.0,10.0,14.0,14.0,10.0,14.0,14.0,10.0,18.0,14.0,14.0,14.0,10.0,14.0,14.0,14.0,14.0,15.0,17.0,17.0

