x0,y0,z0,x1,y1,z1,index: 0,time:0.0-1.0
10.0,14.0,10.0,10.0,10.0,10.0
11.333333333333334,14.0,11.333333333333334,12.0,10.0,10.0

x0,y0,z0,x1,y1,z1,index: 1,time:1.0-2.0
11.333333333333334,14.0,11.333333333333334,12.0,10.0,10.0
12.666666666666666,14.0,12.666666666666666,14.0,10.0,10.0

x0,y0,z0,x1,y1,z1,index: 2,time:2.0-3.0
12.666666666666666,14.0,12.666666666666666,14.0,10.0,10.0
14.0,14.0,14.0,16.0,10.0,10.0

x0,y0,z0,x1,y1,z1,index: 3,time:3.0-4.0
14.0,14.0,14.0,16.0,10.0,10.0
14.0,14.0,14.0,18.0,10.0,10.0

x0,y0,z0,x1,y1,z1,index: 4,time:4.0-5.0
14.0,14.0,14.0,18.0,10.0,10.0
14.0,14.0,14.0,18.0,11.333333333333334,11.333333333333334

x0,y0,z0,x1,y1,z1,index: 5,time:5.0-6.0
14.0,14.0,14.0,18.0,11.333333333333334,11.333333333333334
14.0,14.0,14.0,18.0,12.666666666666666,12.666666666666666

x0,y0,z0,x1,y1,z1,index: 6,time:6.0-7.0
14.0,14.0,14.0,18.0,12.666666666666666,12.666666666666666
14.0,14.0,14.0,18.0,14.0,14.0

